block,v3_usdc_per_weth,v2_usdc_per_weth,spread_pct,direction
47146597,1617.6630,1621.9080,0.26241,V3->V2
47146598,1617.6630,1621.9080,0.26241,V3->V2
47146599,1617.6630,1621.9080,0.26241,V3->V2
47146600,1617.6630,1621.9080,0.26241,V3->V2
47146601,1617.6630,1621.9080,0.26241,V3->V2
47146602,1618.0274,1621.9080,0.23984,V3->V2
47146603,1618.3673,1621.9080,0.21878,V3->V2
47146604,1618.3637,1621.9080,0.21900,V3->V2
47146605,1618.3637,1621.9080,0.21900,V3->V2
47146606,1618.3637,1621.9080,0.21900,V3->V2
47146607,1618.4299,1621.9080,0.21491,V3->V2
47146608,1618.4299,1621.9080,0.21491,V3->V2
47146609,1618.4299,1621.9080,0.21491,V3->V2
47146610,1618.4299,1621.9080,0.21491,V3->V2
47146611,1618.4299,1621.9080,0.21491,V3->V2
47146612,1618.4299,1621.9080,0.21491,V3->V2
47146613,1618.4299,1621.9080,0.21491,V3->V2
47146614,1618.4299,1621.9080,0.21491,V3->V2
47146615,1618.4299,1621.9080,0.21491,V3->V2
47146616,1618.4311,1621.9080,0.21484,V3->V2
47146617,1618.4311,1621.9080,0.21484,V3->V2
47146618,1618.4311,1621.9080,0.21483,V3->V2
47146619,1618.4311,1621.9080,0.21483,V3->V2
47146620,1618.4311,1621.9080,0.21483,V3->V2
47146621,1618.4311,1621.9080,0.21483,V3->V2
47146622,1618.4311,1621.9080,0.21483,V3->V2
47146623,1618.4311,1621.9080,0.21483,V3->V2
47146624,1618.4311,1621.9080,0.21483,V3->V2
47146625,1618.4311,1621.9080,0.21483,V3->V2
47146626,1618.4311,1621.9080,0.21483,V3->V2
47146627,1618.3866,1621.9080,0.21759,V3->V2
47146628,1618.1141,1621.9080,0.23447,V3->V2
47146629,1618.1141,1621.9080,0.23447,V3->V2
47146630,1618.1141,1621.9080,0.23447,V3->V2
47146631,1618.1141,1621.9080,0.23447,V3->V2
47146632,1617.7963,1621.9080,0.25415,V3->V2
47146633,1617.5617,1621.9080,0.26870,V3->V2
47146634,1617.5617,1621.9080,0.26870,V3->V2
47146635,1617.5617,1621.9080,0.26870,V3->V2
47146636,1617.0399,1621.2692,0.26155,V3->V2
47146637,1617.0399,1621.2692,0.26155,V3->V2
47146638,1617.0399,1621.2692,0.26155,V3->V2
47146639,1617.0399,1621.2692,0.26155,V3->V2
47146640,1617.0399,1621.2692,0.26155,V3->V2
47146641,1617.0399,1621.2692,0.26155,V3->V2
47146642,1619.1609,1621.2692,0.13021,V3->V2
47146643,1619.5401,1621.2692,0.10677,V3->V2
47146644,1619.5401,1621.2692,0.10677,V3->V2
47146645,1619.5401,1621.2692,0.10677,V3->V2
47146646,1619.5401,1621.2692,0.10677,V3->V2
47146647,1619.5401,1621.2692,0.10677,V3->V2
47146648,1619.5401,1621.2692,0.10677,V3->V2
47146649,1619.5401,1621.2692,0.10677,V3->V2
47146650,1619.5401,1621.2692,0.10677,V3->V2
47146651,1619.5401,1621.2692,0.10677,V3->V2
47146652,1619.2914,1621.2692,0.12214,V3->V2
47146653,1619.2914,1621.2692,0.12214,V3->V2
47146654,1619.2256,1621.2692,0.12621,V3->V2
47146655,1619.2256,1621.2692,0.12621,V3->V2
47146656,1619.2322,1621.2692,0.12580,V3->V2
47146657,1619.2322,1621.2692,0.12580,V3->V2
47146658,1619.2322,1621.2692,0.12580,V3->V2
47146659,1619.1910,1621.2692,0.12835,V3->V2
47146660,1619.1910,1621.2692,0.12835,V3->V2
47146661,1619.1910,1621.2692,0.12835,V3->V2
47146662,1619.1910,1621.2692,0.12835,V3->V2
47146663,1619.1910,1621.2692,0.12835,V3->V2
47146664,1619.1910,1621.2692,0.12835,V3->V2
47146665,1619.0664,1621.2692,0.13606,V3->V2
47146666,1619.0664,1621.2692,0.13606,V3->V2
47146667,1619.0664,1621.2692,0.13606,V3->V2
47146668,1619.0664,1621.2692,0.13606,V3->V2
47146669,1619.0664,1621.2692,0.13606,V3->V2
47146670,1619.0664,1621.2692,0.13606,V3->V2
47146671,1619.0664,1621.2692,0.13606,V3->V2
47146672,1619.0664,1621.2692,0.13606,V3->V2
47146673,1619.0663,1621.2692,0.13606,V3->V2
47146674,1619.0663,1621.2692,0.13606,V3->V2
47146675,1619.0663,1621.2692,0.13606,V3->V2
47146676,1619.0663,1621.2692,0.13606,V3->V2
47146677,1618.6309,1621.2692,0.16300,V3->V2
47146678,1618.6309,1621.2692,0.16300,V3->V2
47146679,1618.4997,1621.2692,0.17112,V3->V2
47146680,1618.4145,1621.2692,0.17639,V3->V2
47146681,1618.4145,1621.2692,0.17639,V3->V2
47146682,1618.2879,1621.2692,0.18423,V3->V2
47146683,1617.4342,1621.2692,0.23711,V3->V2
47146684,1617.2332,1621.2692,0.24956,V3->V2
47146685,1617.1364,1621.2692,0.25557,V3->V2
47146686,1617.0669,1621.2692,0.25988,V3->V2
47146687,1617.0669,1621.2692,0.25988,V3->V2
47146688,1617.0669,1621.2692,0.25988,V3->V2
47146689,1617.0668,1621.2692,0.25988,V3->V2
47146690,1617.0668,1621.2692,0.25988,V3->V2
47146691,1617.0668,1621.2692,0.25988,V3->V2
47146692,1617.0668,1621.2692,0.25988,V3->V2
47146693,1617.0668,1621.2692,0.25988,V3->V2
47146694,1617.0668,1621.2692,0.25988,V3->V2
47146695,1617.0668,1621.2692,0.25988,V3->V2
47146696,1617.0668,1621.2692,0.25988,V3->V2
47146697,1617.0667,1621.2692,0.25989,V3->V2
47146698,1617.0681,1621.2692,0.25980,V3->V2
47146699,1616.7392,1621.1121,0.27048,V3->V2
47146700,1616.5714,1620.9437,0.27046,V3->V2
47146701,1616.5671,1620.9437,0.27074,V3->V2
47146702,1616.5671,1620.9437,0.27074,V3->V2
